Feature,Data_Type,Non_Null_Count,Missing_Count,Missing_Percentage,Unique_Values
timestamp,str,8354,0,0.0,8354
station_id,str,8354,0,0.0,20
location_type,str,8354,0,0.0,2
vehicle_id,str,8354,0,0.0,8354
vehicle_type,str,8354,0,0.0,3
arrival_time,str,8354,0,0.0,8354
charging_start_time,str,8354,0,0.0,8304
charging_end_time,str,8354,0,0.0,8109
waiting_time,int64,8354,0,0.0,29
battery_capacity_kWh,int64,8354,0,0.0,5
initial_soc,float64,8354,0,0.0,8354
final_soc,float64,8354,0,0.0,4181
energy_consumed_kWh,float64,8354,0,0.0,8337
charging_power_kW,int64,8354,0,0.0,4
charging_duration,float64,8354,0,0.0,8337
queue_length,int64,8354,0,0.0,16
station_load,float64,8354,0,0.0,7996
electricity_price,float64,8354,0,0.0,1000
renewable_energy_ratio,float64,8354,0,0.0,8354
traffic_density,str,8354,0,0.0,3
weather_condition,str,8354,0,0.0,3
day_of_week,str,8354,0,0.0,7
time_slot,str,8354,0,0.0,2
charging_demand,float64,8354,0,0.0,8354
assigned_charger_id,str,8354,0,0.0,10
charging_priority,str,8354,0,0.0,3
optimization_reward,float64,8354,0,0.0,8354
