Feature,Coefficient,Absolute_Importance
numeric__station_load,27.25671678039989,27.25671678039989
categorical__timestamp_25-01-2025 13:45,1.3674125720006505,1.3674125720006505
categorical__charging_start_time_25-01-2025 13:56,1.3674125720006505,1.3674125720006505
categorical__arrival_time_25-01-2025 13:45,1.3674125720006505,1.3674125720006505
categorical__charging_start_time_07-01-2025 14:20,1.3464219024913584,1.3464219024913584
categorical__timestamp_07-01-2025 14:15,1.3464219024913584,1.3464219024913584
categorical__arrival_time_07-01-2025 14:15,1.3464219024913584,1.3464219024913584
categorical__timestamp_01-03-2025 18:30,-1.342062533674947,1.342062533674947
categorical__arrival_time_01-03-2025 18:30,-1.342062533674947,1.342062533674947
categorical__charging_start_time_01-03-2025 18:30,-1.342062533674947,1.342062533674947
categorical__timestamp_16-03-2025 21:00,1.3373645776862395,1.3373645776862395
categorical__charging_start_time_16-03-2025 21:14,1.3373645776862395,1.3373645776862395
categorical__arrival_time_16-03-2025 21:00,1.3373645776862395,1.3373645776862395
categorical__arrival_time_26-01-2025 15:15,1.3341273358040726,1.3341273358040726
categorical__charging_start_time_26-01-2025 15:21,1.3341273358040726,1.3341273358040726
categorical__timestamp_26-01-2025 15:15,1.3341273358040726,1.3341273358040726
categorical__charging_start_time_06-02-2025 04:11,1.328184586784546,1.328184586784546
categorical__arrival_time_06-02-2025 04:00,1.328184586784546,1.328184586784546
categorical__timestamp_06-02-2025 04:00,1.328184586784546,1.328184586784546
categorical__arrival_time_23-02-2025 03:45,1.3229003102784331,1.3229003102784331
categorical__timestamp_23-02-2025 03:45,1.3229003102784331,1.3229003102784331
categorical__charging_start_time_23-02-2025 03:53,1.3229003102784331,1.3229003102784331
categorical__timestamp_22-01-2025 14:45,1.3205954116160805,1.3205954116160805
categorical__arrival_time_22-01-2025 14:45,1.3205954116160805,1.3205954116160805
categorical__charging_start_time_22-01-2025 14:50,1.3205954116160805,1.3205954116160805
categorical__timestamp_09-02-2025 16:30,1.3192207000149656,1.3192207000149656
categorical__arrival_time_09-02-2025 16:30,1.3192207000149656,1.3192207000149656
categorical__charging_start_time_09-02-2025 16:43,1.3192207000149656,1.3192207000149656
categorical__timestamp_02-02-2025 11:00,1.3182397269667039,1.3182397269667039
categorical__arrival_time_02-02-2025 11:00,1.3182397269667039,1.3182397269667039
categorical__charging_start_time_02-02-2025 11:14,1.3182397269667039,1.3182397269667039
categorical__arrival_time_10-02-2025 07:00,-1.3154632163173596,1.3154632163173596
categorical__timestamp_10-02-2025 07:00,-1.3154632163173596,1.3154632163173596
categorical__charging_start_time_10-02-2025 07:06,-1.3154632163173596,1.3154632163173596
categorical__arrival_time_04-01-2025 18:00,1.3134299874138755,1.3134299874138755
categorical__timestamp_04-01-2025 18:00,1.3134299874138755,1.3134299874138755
categorical__charging_start_time_04-01-2025 18:13,1.3134299874138755,1.3134299874138755
categorical__arrival_time_27-01-2025 19:45,1.3124697688256777,1.3124697688256777
